Dönem;Pazar;Dil;İş Amacı;Ana Grup;Reklam Hesabı;Para Birimi;Kampanya;Kampanya ID;Kampanya Durumu;Reklam Seti;Set ID;Set Durumu;Optimizasyon;Kampanya Günlük Bütçe;Kampanya Ömür Boyu;Set Günlük Bütçe;Set Ömür Boyu;Gerçekleşen Harcama;Gösterim;Erişim;Tıklama;Form Lead;WhatsApp Lead;Toplam Lead;Ham Mesaj Sonucu;Video İzlenme
Ağustos 2026;Yabancı;Arapça;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hospital;TRY;Meme Estetiği - Jinekomasti - Arap Bölgesi - Tümü - AR - Doruk Jinekomasti;​120247623884690080;PAUSED;Jinekomasti - Arap Bölgesi;​120247623884680080;CAMPAIGN_PAUSED;LEAD_GENERATION;0;0;4000;0;11740.74;85365;47213;1178;40;41;81;41;14812
Temmuz 2026;Yabancı;İngilizce;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hospital;TRY;Meme Estetiği - Jinekomasti - Birleşik Krallık - Tümü - EN - Doruk Jinekomasti;​120247571768010080;PAUSED;Jinekomasti - UK;​120247576936700080;CAMPAIGN_PAUSED;LEAD_GENERATION;0;0;3000;0;7124.92;15999;7801;372;29;0;29;0;2957
Ağustos 2026;Yabancı;İngilizce;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hospital;TRY;Meme Estetiği - Jinekomasti - Birleşik Krallık - Tümü - EN - Doruk Jinekomasti;​120247571768010080;PAUSED;Jinekomasti - UK;​120247576936700080;CAMPAIGN_PAUSED;LEAD_GENERATION;0;0;3000;0;8098.5;17618;10411;344;18;0;18;0;3159
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🎗️ Kemoterapi Alan Her...;​120255739290470399;ACTIVE;Instagram gönderisi: 🎗️ Kemoterapi Alan Her...;​120255739290740399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4861.85;65021;51307;1470;0;0;0;7;20669
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🎗️ Kemoterapi Alan Her...;​120255739290470399;ACTIVE;Instagram gönderisi: 🎗️ Kemoterapi Alan Her...;​120255739290740399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;"Instagram gönderisi: 🏅 BURSA'DA BİR İLK

Özel...";​120255738303970399;ACTIVE;"Instagram gönderisi: 🏅 BURSA'DA BİR İLK

Özel...";​120255738304110399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;5950.62;74827;57785;1859;0;0;0;1;34374
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;"Instagram gönderisi: 🏅 BURSA'DA BİR İLK

Özel...";​120255738303970399;ACTIVE;"Instagram gönderisi: 🏅 BURSA'DA BİR İLK

Özel...";​120255738304110399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4410.15;76550;63299;1337;0;0;0;0;30612
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🖐️ Parmak Ucu Defekti Nasıl...;​120255739194330399;ACTIVE;Instagram gönderisi: 🖐️ Parmak Ucu Defekti Nasıl...;​120255739195110399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;5857.14;70669;53590;1981;0;0;0;0;24294
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🖐️ Parmak Ucu Defekti Nasıl...;​120255739194330399;ACTIVE;Instagram gönderisi: 🖐️ Parmak Ucu Defekti Nasıl...;​120255739195110399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;3895.68;57492;49035;1241;0;0;0;1;20919
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🦴 Bel Fıtığında Doğru Zaman...;​120255739485660399;ACTIVE;Instagram gönderisi: 🦴 Bel Fıtığında Doğru Zaman...;​120255739486480399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4602.73;82304;62131;1429;0;0;0;4;21243
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🦴 Bel Fıtığında Doğru Zaman...;​120255739485660399;ACTIVE;Instagram gönderisi: 🦴 Bel Fıtığında Doğru Zaman...;​120255739486480399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🦴 Omurga Kırıklarında Asıl...;​120255739460510399;ACTIVE;Instagram gönderisi: 🦴 Omurga Kırıklarında Asıl...;​120255739460790399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4690.69;73544;59754;975;0;0;0;6;20700
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: 🦴 Omurga Kırıklarında Asıl...;​120255739460510399;ACTIVE;Instagram gönderisi: 🦴 Omurga Kırıklarında Asıl...;​120255739460790399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Ablasyon tedavisi, vücutta...;​120255738376560399;ACTIVE;Instagram gönderisi: Ablasyon tedavisi, vücutta...;​120255738376950399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4881.75;39529;31076;666;0;0;0;0;11781
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Ablasyon tedavisi, vücutta...;​120255738376560399;ACTIVE;Instagram gönderisi: Ablasyon tedavisi, vücutta...;​120255738376950399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Bir sezon boyunca ortaya...;​120249614228610399;ACTIVE;Instagram gönderisi: Bir sezon boyunca ortaya...;​120249614229100399;ACTIVE;VISIT_INSTAGRAM_PROFILE;0;0;4000;0;89061.13;1548600;590493;19030;0;0;0;2;338000
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Bir sezon boyunca ortaya...;​120249614228610399;ACTIVE;Instagram gönderisi: Bir sezon boyunca ortaya...;​120249614229100399;ACTIVE;VISIT_INSTAGRAM_PROFILE;0;0;4000;0;19306.66;354564;255858;4315;0;0;0;1;74332
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Doruk Sağlık Grubu olarak,...;​120255099624540399;ACTIVE;Instagram gönderisi: Doruk Sağlık Grubu olarak,...;​120255099624880399;ACTIVE;VISIT_INSTAGRAM_PROFILE;3000;0;0;0;66937.6;1006398;596895;15513;0;0;0;0;261431
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Doruk Sağlık Grubu olarak,...;​120255099624540399;ACTIVE;Instagram gönderisi: Doruk Sağlık Grubu olarak,...;​120255099624880399;ACTIVE;VISIT_INSTAGRAM_PROFILE;3000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: İlişki sonrasında idrar...;​120255738351260399;ACTIVE;Instagram gönderisi: İlişki sonrasında idrar...;​120255738351550399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4710.19;48385;38385;906;0;0;0;1;16097
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: İlişki sonrasında idrar...;​120255738351260399;ACTIVE;Instagram gönderisi: İlişki sonrasında idrar...;​120255738351550399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Gebe-Doğum Bilinirlik;​120247034876600399;ACTIVE;Gebe Okulu Erişim;​120247034876630399;ACTIVE;REACH;0;0;1000;0;22253.08;2274787;970594;1621;0;0;0;0;156558
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Gebe-Doğum Bilinirlik;​120247034876600399;ACTIVE;Gebe Okulu Erişim;​120247034876630399;ACTIVE;REACH;0;0;1000;0;4848.85;501675;417451;471;0;0;0;0;41280
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: •Gebelikte Tarama Testleri |...;​120255739368940399;PAUSED;Instagram gönderisi: •Gebelikte Tarama Testleri |...;​120255739369440399;CAMPAIGN_PAUSED;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;2378.12;33696;23431;1056;0;0;0;1;8109
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: •Gebelikte Tarama Testleri |...;​120255739368940399;PAUSED;Instagram gönderisi: •Gebelikte Tarama Testleri |...;​120255739369440399;CAMPAIGN_PAUSED;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: ✅Gebelikte uyku pozisyonu...;​120255739424180399;PAUSED;Instagram gönderisi: ✅Gebelikte uyku pozisyonu...;​120255739424480399;CAMPAIGN_PAUSED;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;2585.86;56445;42453;1964;0;0;0;2;16283
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: ✅Gebelikte uyku pozisyonu...;​120255739424180399;PAUSED;Instagram gönderisi: ✅Gebelikte uyku pozisyonu...;​120255739424480399;CAMPAIGN_PAUSED;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Aşılama tedavisi, gebelik...;​120255738261970399;ACTIVE;Instagram gönderisi: Aşılama tedavisi, gebelik...;​120255738262580399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4999.35;71100;60572;773;0;0;0;0;8545
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Aşılama tedavisi, gebelik...;​120255738261970399;ACTIVE;Instagram gönderisi: Aşılama tedavisi, gebelik...;​120255738262580399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Gebelikte bel ağrısı sık...;​120255738326270399;ACTIVE;Instagram gönderisi: Gebelikte bel ağrısı sık...;​120255738326470399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;4578.52;73042;58929;930;0;0;0;1;11669
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Instagram gönderisi: Gebelikte bel ağrısı sık...;​120255738326270399;ACTIVE;Instagram gönderisi: Gebelikte bel ağrısı sık...;​120255738326470399;ACTIVE;VISIT_INSTAGRAM_PROFILE;1000;0;0;0;0;0;0;0;0;0;0;0;0
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Ali Emin Latif;​120255765339360399;ACTIVE;REACH;0;0;100;0;552.17;55757;49564;56;0;0;0;0;3078
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Ali Emin Latif;​120255765339360399;ACTIVE;REACH;0;0;100;0;446.16;50721;46197;65;0;0;0;0;3154
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Ali Karataş;​120255765367960399;ACTIVE;REACH;0;0;100;0;560.77;56094;50923;16;0;0;0;0;3178
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Ali Karataş;​120255765367960399;ACTIVE;REACH;0;0;100;0;446.36;49575;45879;19;0;0;0;0;2497
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Bülent Aymelek;​120255765369500399;ACTIVE;REACH;0;0;100;0;559.04;55859;48621;43;0;0;0;0;2614
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Bülent Aymelek;​120255765369500399;ACTIVE;REACH;0;0;100;0;458.83;50602;46858;14;0;0;0;0;2239
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Duygu Hasan Dilber;​120255765371020399;ACTIVE;REACH;0;0;100;0;562.52;56302;51618;28;0;0;0;0;2783
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Duygu Hasan Dilber;​120255765371020399;ACTIVE;REACH;0;0;100;0;454.79;50340;47344;19;0;0;0;0;2432
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Eda Efsane Çetinkaya;​120255765371710399;ACTIVE;REACH;0;0;100;0;559.91;56400;50433;21;0;0;0;0;2637
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Eda Efsane Çetinkaya;​120255765371710399;ACTIVE;REACH;0;0;100;0;450.24;50315;47044;15;0;0;0;0;2308
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Emine Mestan;​120255765372750399;ACTIVE;REACH;0;0;100;0;556.79;55280;47929;16;0;0;0;0;2671
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Emine Mestan;​120255765372750399;ACTIVE;REACH;0;0;100;0;473.67;52266;47166;30;0;0;0;0;3149
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Ertuğrul Aydın;​120255765374530399;ACTIVE;REACH;0;0;100;0;561.42;56581;49996;24;0;0;0;0;3247
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Ertuğrul Aydın;​120255765374530399;ACTIVE;REACH;0;0;100;0;452.53;50541;48061;32;0;0;0;0;3116
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Güray Can;​120255765375300399;ACTIVE;REACH;0;0;100;0;555.9;55567;49590;58;0;0;0;0;2786
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Güray Can;​120255765375300399;ACTIVE;REACH;0;0;100;0;442.97;49862;46062;40;0;0;0;0;2462
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Levent Uslu;​120255765380140399;ACTIVE;REACH;0;0;100;0;536.04;55834;48262;106;0;0;0;0;4015
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Levent Uslu;​120255765380140399;ACTIVE;REACH;0;0;100;0;442.46;51493;47121;94;0;0;0;0;3693
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Meltem Çakmak;​120255765380910399;ACTIVE;REACH;0;0;100;0;546.58;55737;51672;27;0;0;0;0;3464
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Meltem Çakmak;​120255765380910399;ACTIVE;REACH;0;0;100;0;443;49963;48078;22;0;0;0;0;2661
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Muhtar Ünaldı;​120255765382010399;ACTIVE;REACH;0;0;100;0;560.5;56727;51575;69;0;0;0;0;4485
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Muhtar Ünaldı;​120255765382010399;ACTIVE;REACH;0;0;100;0;460.59;51556;48815;45;0;0;0;0;3883
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Murat Çakır;​120255765382810399;ACTIVE;REACH;0;0;100;0;553.29;55702;51504;33;0;0;0;0;3039
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Murat Çakır;​120255765382810399;ACTIVE;REACH;0;0;100;0;455.89;50700;46178;22;0;0;0;0;2608
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Mustafa Kısakürek;​120255765383900399;ACTIVE;REACH;0;0;100;0;554.11;56087;49304;74;0;0;0;0;3384
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Mustafa Kısakürek;​120255765383900399;ACTIVE;REACH;0;0;100;0;465.76;51559;47675;45;0;0;0;0;2753
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Osman Ataç;​120255765384780399;ACTIVE;REACH;0;0;100;0;548.79;55864;51182;26;0;0;0;0;4126
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Osman Ataç;​120255765384780399;ACTIVE;REACH;0;0;100;0;458.51;51509;50245;43;0;0;0;0;3570
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Sait Uysal;​120255765385330399;ACTIVE;REACH;0;0;100;0;551.73;55861;52297;48;0;0;0;0;3417
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Sait Uysal;​120255765385330399;ACTIVE;REACH;0;0;100;0;448.34;50105;45526;61;0;0;0;0;2707
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Sercan Sınır;​120255765387860399;ACTIVE;REACH;0;0;100;0;555.52;56246;47191;41;0;0;0;0;2659
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Sercan Sınır;​120255765387860399;ACTIVE;REACH;0;0;100;0;451.03;51162;45999;52;0;0;0;0;2643
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;çekirge - Seyfi Kamberoğlu;​120255765392180399;ACTIVE;REACH;0;0;100;0;559.91;55973;50277;25;0;0;0;0;3518
