Dönem;Pazar;Dil;İş Amacı;Ana Grup;Reklam Hesabı;Para Birimi;Kampanya;Kampanya ID;Kampanya Durumu;Reklam Seti;Set ID;Set Durumu;Optimizasyon;Kampanya Günlük Bütçe;Kampanya Ömür Boyu;Set Günlük Bütçe;Set Ömür Boyu;Gerçekleşen Harcama;Gösterim;Erişim;Tıklama;Form Lead;WhatsApp Lead;Toplam Lead;Ham Mesaj Sonucu;Video İzlenme
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Özgecen Demirbaş;​120249678013370399;ACTIVE;REACH;0;0;100;0;2357.59;260765;246909;70;0;0;0;0;8856
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Özgecen Demirbaş;​120249678013370399;ACTIVE;REACH;0;0;100;0;475.07;55687;54545;19;0;0;0;0;2010
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Rıdvan Ali;​120250139943010399;ACTIVE;REACH;0;0;100;0;2315.48;253361;238938;76;0;0;0;0;8337
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Rıdvan Ali;​120250139943010399;ACTIVE;REACH;0;0;100;0;462.3;54348;52247;20;0;0;0;0;2228
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Sabahattin Karakaya;​120249678913370399;ACTIVE;REACH;0;0;100;0;2339.32;260750;236724;148;0;0;0;0;9533
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Sabahattin Karakaya;​120249678913370399;ACTIVE;REACH;0;0;100;0;460.2;54788;52714;28;0;0;0;0;2162
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Salih Kılıç;​120250014497470399;ACTIVE;REACH;0;0;100;0;2299.6;257260;232219;96;0;0;0;0;10845
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Salih Kılıç;​120250014497470399;ACTIVE;REACH;0;0;100;0;455.87;54568;52890;27;0;0;0;0;2398
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Seren Şeviker;​120250370297860399;ACTIVE;REACH;0;0;100;0;2335.41;254745;230619;119;0;0;0;0;8226
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Seren Şeviker;​120250370297860399;ACTIVE;REACH;0;0;100;0;462.05;54001;50913;24;0;0;0;0;2310
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Serkan Fatih Yeğen;​120250017424400399;ACTIVE;REACH;0;0;100;0;2287.43;257829;208442;396;0;0;0;0;13776
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Serkan Fatih Yeğen;​120250017424400399;ACTIVE;REACH;0;0;100;0;461.15;55527;53716;65;0;0;0;0;3220
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Sinan Demirtaş;​120252512377460399;ACTIVE;REACH;0;0;100;0;2315.49;258872;239602;71;0;0;0;0;11097
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Sinan Demirtaş;​120252512377460399;ACTIVE;REACH;0;0;100;0;454.19;54176;53274;19;0;0;0;0;2251
