"hesap";"ham_meta_adi";"meta_reklam_id";"reklam_seti_ham_adi";"kampanya_ham_adi";"durum";"yaratici_ham_adi";"cta";"destination";"yaratici_metin_ve_baslik";"yaratici_dil_sinyali";"yaratici_kimlik_kalitesi";"yaratici_ailesi";"kunye_kaniti";"insan_notu"
"Doruk Tibbi Bilgiler";"video-1";"52668193170824";"Jinekomasti - Erkek - Kanada - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668195120624";"Jinekomasti - Erkek - Amerika - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668194299824";"Jinekomasti - Erkek - Avusturalya - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-1";"52668194300224";"Jinekomasti - Erkek - Avusturalya - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668193171424";"Jinekomasti - Erkek - Kanada - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-1";"52668194801624";"Jinekomasti - Erkek - Yeni Zellanda - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 1";"52547158763824";"Avusturalya Kadın iOS";"Whatsapp - Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 2";"52547158764824";"Avusturalya Kadın iOS";"Whatsapp - Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 4";"52547158763224";"Avusturalya Kadın iOS";"Whatsapp - Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668195120424";"Jinekomasti - Erkek - Amerika - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
